id,filename,file_size,word_count,modified_date,extraction_date,document_type
1,Read-Ahead Summary for High-Level Presentation on Q-SMEC Technology & Use Cases.docx,10176,516,2025-09-25T15:23:50,2025-11-04T13:11:53.730675,docx
2,Q-SMEC_Commercialization_Directive_Updated.docx,10841,974,2025-09-25T15:23:50,2025-11-04T13:11:53.730675,docx
3,Scope of the Q-SMEC Patent_White Paper.docx,782171,485,2025-09-25T15:24:10,2025-11-04T13:11:53.730675,docx
4,Q-SMEC Sensor Taxonomy WP PROPRIETARY (v8).docx,1389337,4223,2025-10-14T10:10:36,2025-11-04T13:11:53.730675,docx
5,Q-SMEC Technical White Paper NDA Safe.docx,38732,496,2025-10-20T11:00:52.862000,2025-11-04T13:11:53.730675,docx
6,1) outline  (3).docx,10301,508,2025-10-20T11:51:45.886000,2025-11-04T13:11:53.730675,docx
7,0) DeepThink-level decomposition (2).docx,13322,789,2025-10-20T11:51:45.886000,2025-11-04T13:11:53.730675,docx
8,Detailed breakdown of each major section of the QSMEC white paper (2).docx,15232,1640,2025-10-20T11:51:47.695000,2025-11-04T13:11:53.730675,docx
9,0) DeepThink-level decomposition.docx,13322,789,2025-10-24T09:16:24.447000,2025-11-04T13:11:53.730675,docx
10,Detailed breakdown of each major section of the Qâ€‘SMEC white paper (2).docx,15232,1640,2025-10-24T09:16:49.730000,2025-11-04T13:11:53.730675,docx
11,CII NIKET Q-SMEC Sensor Taxonomy WP Non-Proprietary Rev 7 Dely 082825.docx,59635,2928,2025-10-24T10:31:16.914000,2025-11-04T13:11:53.730675,docx
12,NIKET Q-SMEC Science Overview PROPRIETARY Dely 10272025.docx,2165628,1409,2025-11-04T12:44:36.297000,2025-11-04T13:11:53.730675,docx
